,User,Chat
502,탐관오리손,작은것들 온다
503,메탐페타민중독자,쇼메가 0인분만 해도 이길텐데... 오늘도 늘 그렇듯 -3인분쯤 하고 질 듯 ㅋㅋ
504,어둑신,결승전 아니라서 젠지가 이김
505,지존짭세,2020년은 너구리빨이라고 쇼매팬들씨 ㅋㅋ
506,showmaker_kkens_chovy,담원기아 파이팅!!!!!!
507,함초롬체,대황담원 젠첩들 오늘 주제파악좀 시켜줘라
508,roserose4426,원래 우승에는 항상 운도 따라줬다고 다들 그래 이번 티원만 그런줄 아누 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
509,moriya0,담민이들은 양소인 허리돌림에 반한건가 ???
510,삼육플러스,걍 담민이들은 양심이 없음 롤드컵하나 먹었다고 역체드립 떨더니 현실은 ㅠㅠ
511,누들___,바텀 미드는 젠지고 정글 탑은 담원이 유리함?
512,수출용뀰주먹,수빈누나 젠지옷 입었으려나
513,sleepwantsme,초반에는 좀 치열하게 하다가 후반에 운영싸움가면 젠지가 좀더 유리하다고 봅니다
514,평화로운가이드,누가 이기든 5꽉 가즈아
515,지는꽃,티>=?젠>>>>>>>>>>>>나머지
516,terry__000,멸망 가즈아 ㅋㅋㅋㅋ
517,무관견과담민이1557,담민이들아 오늘이 마지막이다 즐겨~ 한잔해~
518,qopals,오늘 쵸비 까던 친구들 결승때 쵸비 광팬 되어있음 ㅋㅋㅋㅋ
519,showmaker_kkens_chovy,담원기아 파이팅!
520,lbs0620,담민이 처형식 드가자~~~
521,rlawlsdh123,어차피 티원 우승임 ㅋㅋㅋㅋ
522,hunseo3495,ㅋㅋ 현새채미는 쇼매지 이러고 있노
523,매우정상적,젠지를 너무 ㅈ으로보는거아니냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
524,experience538,아슼씨!!!!!
525,ttt1go,20담원도 ㄹㅇ 빈집 물로켓 ㅠ
526,발라123,GENGWIN! DKWIN! 아무나 이겨라!
527,choiwill,젠지가 이길듯 ㅋㅋ
528,쵸비상182,챔피언 빨 ㅇㄹㅁ
529,킠킠ㅋ,LCK화이팅!
530,showmaker_kkens_chovy,담원기아 파이팅
531,만신김성모,큰거 온다
532,JohnNaksaing,큰거온다
533,hkdram,20담원 -> 15161722T1에게 떡실신
534,zmfqkr11,20담원 (물로켓) 22스프링 우승자(현체미)
535,왕만두조아,어차피 우승은 담원기아 <<< 님들 이 말 모르세요? 롤판 진리인데
536,chanho0179,입갤
537,angksehwjs08,담원기아가 이기지 ㅋㅋㅋㅋ
538,노믹스위애비,담원기아 결승가보자!!! 젠지랑 좋은 경기력 보여주자 가보장
539,지온02,오늘 오펠리아 나옴? 쇼매 잘 패던데
540,showmaker_kkens_chovy,담원기아 파이팅!!!
541,애플맹고애플,젠지가 이겨라~
542,박지워,야스요
543,kidcome,ㅋㅋㅋ 물로켓으로 조리 돌림 하다가 이제는 지들이 무로켓에 오히려 당하네
544,구운고구마감자,팩트) 담원의 1군 미드는 현재 코로나에 걸려서 2군 쇼메가 계속 나오는중이다
545,쪼ㅋ,응 작년에 탑빨이었어
546,h33720_,세체미는 스카웃이지
547,곰탱이밤탱이,솔직히 젠지가 이길 것 같다. 안그러냐
548,한잔을하지,큰거온다
549,ggitaek08,DKWIN
550,holycys,저 두 팀 중에 한 팀은 떨어지는 겨?
551,재현3920,큰거온다
552,에따봉,팩트)  월즈우승 티원 3  젠지 2  담원 1  ㄹㅇㅋㅋ
553,창바람,젠지가 이기지 않으려나?
554,Surrender_Coach,20담원은 걍 물로켓임 ㅇㅇ
555,dltkdcjs3124,ㄹㅇ 큰거 온다 개잼있겠다
556,탐관오리손,작으것들 온다
557,오전과오후,광고 몇개를 보내노
558,chodudtjr,담민이들 희망갖지마라
559,cotjd5648,담민이들 빈집털어먹기도못하죠?담민이들 빈집털어먹기도못하죠?민이들 빈집털어먹기도못하죠?
560,ljr60205,뭐가 큰게 와 담원이 ㅈ만도 못한데
561,dwggod,"20 담원은 진짜 압도적인 느낌이 있었는데, 이번 티원은 좀 운이 따라준다는 느낌이 강했음.. 이건 관련자들도 인정하고 페이커도 인터뷰로 그랬는데, 왜 니들만 인정을 못해"
562,부농해,가자아~
563,tomc9,젠지 완전체 vs t1 기대되긴해
564,lbs0620,담민이 처형식 드가자~~~~~~~~~~~
565,화쑤분,젠지 또 bj 불러다가 사옥 촬영하고 앉았더라?ㅋㅋㅋㅋㅋㅋ 또 코로나 걸릴라고 ㅋㅋㅋㅋ결승때 코로나 핑계대려고
566,쏘나티네,젠지 가자~
567,아름이_,가자가자
568,peachh100,가즈아
569,groundworld1,진짜 딱 팩트로만 말해줌 티>>>젠>>>담 오케이?
570,깨문다람쥐,어짜피 담원이 이겨
571,카사다,드가자
572,eden12012,자 드가자~
573,hunseo3495,자 드가자~
574,nguyenlehuyh,GenG 3-2 DK
575,myjgh1231,담민이 vs 젠첩 승자는? ㅋㅋㅋㅋㅋㅋㅋ 주제부터 즐겁노 ㅋㅋㅋㅋㅋ
576,하아얀바람,"하아얀바람 subscribed with Prime. They've subscribed for 2 months, currently on a 1 month streak! "
577,지는꽃,드걔쟤~
578,diber456,졸린거 온다
579,My3136,어중간한거온다
580,zmfqkr11,22 티원 >>>>>> 20담원 (물로켓)
581,tjsanf1992,자 드가자
582,럃쁋될롫,큰거온다
583,kdsevin,ㄱㅈㅇ
584,큰거온다1,큰거온다
585,갸미쨔응,젠지가 정배지..
586,kimjs4063,자 드가자~
587,frozen506,ㅈㄴ큰거온다~~!
588,yomadayo,작은놈 + 큰거 온다!
589,상급과일,쵸키는 누구냐
590,yh3lee,ㄱㄱㄱ
591,아웨일,왜케 처 까고 있어 슼빠들
592,김회색,드가자ㅏㅏㅏ
593,이것만보고끌게요,꿀잼 경기 가즈아
594,둠_칫,드가자~
595,dosaa7,사 이키마쇼
596,ㄹㅏㅇㅣ언,눈나
597,tictvhtw,?
598,용구보스,담민이들 또 황제슼한테 열등감느껴서 부들대누
599,sd020517,?
600,왕만두조아,어 슼갈들아 딱기다려 담원이 결승에서 개패줄테니까 ^^
601,김꼬봉,와ㅏㅏㅏㅏㅏ누나
602,basic942,양 팀 다 힘내라 명경기 가즈아ㅏㅏㅏㅏ
603,choiwill,중간꺼 들어가자
604,린가두,눈나ㅏㅏㅏ
605,함초롬체,누가 올라가든 결승은 t1이 이기기때문에 담원이 이기면 좋겠다
606,백두의냥냥펀치,ㅇㄱㅇ~ 드가자!!!!!!
607,nomchinese,수빈누나ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ
608,ggyacoq,COLOMBIA
609,노믹스위애비,담기많응
610,오만원준,적당한거 온다~
611,헬로우181818,수빈이가 담원 뽑음 ㅈㅈ
612,ㄹㅇㄹㅇㅈ,눈나ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ
613,1번뽑았습니다,문열어 젠지 올인박게
614,조선판다,눈나~~~~~~
615,인천똥꼬쇼메이커,ㅋㅋㅋㅋ
616,xitosalbe,드가자
617,김ㅅㅓ준,안냐세용
618,어쭤롸고요,눈나
619,베루즈,ㅈ밥대전 진짜 예측이 안대네
620,원시젤리,눈나ㅏㅏㅏㅏㅏㅏ
621,윤수빈팬,허걱 윤수빈!!!
622,risc5,GGA!
623,Surrender_Coach,20담원은 걍 물로켓임 ㅇㅇ
624,megatrone54,젠리오스
625,달의어금니,헬-하
626,수출용뀰주먹,담수빈이네
627,창바람,담원 멸망의 날
628,곰탱이밤탱이,누나ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ
629,에델_9,와 너무 이뻐서 깜짝 놀랫네
630,a330542,눈나ㅏㅏ
631,라면만먹고갈게,큰거 오나?
632,roserose4426,팩트) 역체팀은 SKT T1이랑 삼성 화이트지
633,qopals,ㅋㅋㅋㅋㅋㅋㅋ
634,pjw0425gp,눈나
635,순응_,담민이 멸망의날이네ㅋㅋㅋㅋㅋ 즐겨 그냥 어차피 응원할 날도 오늘까짘ㅋㅋㅋㅋ
636,wndks0123,개이쁘다
637,양꼬치꿔바로우,아 경기 언제 해
638,dltkdcjs3124,눈나가 왔네 ㅋㅋㅋ
639,복숭아아메리카노,동진게이야 ㅋㅋ
640,평화로운가이드,?
641,재현3920,눈나!!!!
642,바닷게,아 왜 헬리오스가 젠지내
643,tomc9,운으로 전승 우승을 노리냐 ㅋㅋㅋㅋㅋㅋㅋㅋ 담민이들
644,iamboy2000,뭐야뭐야 예쁜사랑 하세요
645,옥자할매유모차도둑김찬호,응 눈나 담원 옷 입고나왔음~ 수고~~
646,카롱단_조하영,담원은 우승할 거면 너구리라도 영입해라
647,bbqdj,헬리오스가 젠지 입었네 담원 승
648,매운닭칼국수,헬리오스는 다음시즌엔 못보겠다
649,pop1xbet,gen won?
650,sleepwantsme,눈이 무섭다..
651,암향매화검,광고 존내많네
652,kkoook2,끝났다..수빈누나 담원 옷입었다
653,진존게못,큰거 온다 젠지 담원
654,룩삼룩삼룩삼,근원 기아 ㅋㅋ
655,tlsql623,담원 유니폼 구데기인줄 알았는데 아니었노
656,zmfqkr11,담민이 눈나....
657,chukbogi1,윤수빈이 어깨가 더 넓어보이냐
658,cotjd5648,담민이 오늘 오멸하는날~
659,micgrr,진행 더럽게 못하는 윤씨네
660,지존짭세,응 어쳐피 담원이 우승이야~~  그빈집 돌발행동혁 느그혁은 우승못하고 즙짤예정 ㅋㅋ
661,hahahahahahahaha_18,수빈누나가 담기옷입음 담기 승
662,월다_,젠지 부정탔다
663,sagria04,담원 승!
664,김회색,젠지 러버 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
665,totorl13,얼굴이 작은거냐 눈이 큰거냐 눈 엄청 크네
666,fabrimen911,wwwwwwwwwwwwww
667,tictvhtw,나만 갑자기 시작했나
668,1nana2017,눈나!
669,jpopstar,^무^관 vs ^무관^중 ㅋㅋㅋㅋㅋㅋ
670,갤럭시버드,체급이 강해?
671,메론밀키스,머리 소멸하시겠네 ㄷㄷ
672,벌곰,드가자
673,헬로우181818,체급의 젠지 < KT
674,Suratrat_,@dwggod 그 운좋은 티원한테 완전체로도 두번 졌잖아 ㅋㅋ 왜캐 말이 많아
675,뭐하라구여,가난한 정글의 상징 ㄷㄷ;
676,strawberrybl0ss0m,젠지가 정배 아님?
677,빠나나썅,ㅇㄴㅅㅅ
678,왕만두조아,'어차피 우승은 담원기아' 그미드팬들 겁나서 ㅂㄷㅂㄷ ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
679,benedict05,담원 멸망의 날
680,benedict05,ㅋㅋ
681,까불이486,이또한 넛신의 뜻이시죠
682,qopals,수빈눈나는 머든 잘어울림!!!
683,깨문다람쥐,오펠리아 없어서 젠지 진다
684,frozen506,5꽉수빈이네 ㅋㅋ
685,고정딜,ㅇㅅㄴㅅ
686,블루밍_1209,ㅇㅅㄴㅅ
687,benedict05,정배는 젠지가 맞음
688,this1499,젠지2군한태 털리는데 뭘 담원이 이기노ㅋㅋㄹㅃㅃ
689,지는꽃,ㅇㅅㄴㅅ
690,illlilililililil,ㅇㅅㄴㅅ
691,nomchinese,ㅇㅅㄴㅅ
692,chukbogi1,윤수빈이 어깨가 더 넓어보이노
693,kkoook2,자 친구들..클린 채팅 ㄱㄱ
694,세계귤도,@ggitaek08 ㅇㅈ
695,변격동사,역시넛신
696,재현3920,경기 ㅃㄹ 들어가
697,너의가랑이사이에,고우시네
698,nrew94,ㅇㅅㄴㅅ
699,에따봉,ㅇㅅㄴㅅ
700,그대로사망,눈 겁나크네
701,nuguri_fan03,먹방계 꿈나무ㅋㅋ
702,창바람,담원 멸망의 날임 그냥
703,만신김성모,쵸준하ㅋㅋㅋ
704,tictvhtw,퍄 빨려
705,함초롬체,담원이 오늘 젠첩들 참교육좀 시켜줘라 ㄹㅇ
706,얄탁꾸리,피넛원맨팀 ㄷㄷ;
707,rlaqudwns1425,ㅇㅅㄴㅅ
708,calintz304,그 말인 즉슨 클러치 플레이는 못한다는거네
709,1번뽑았습니다,담민이들아 젠지가 무조권이긴다고 ㅋㅋ
710,MILINAE88,오늘 해설에 강퀴있습니다 5꽉임
711,korean_korea,빨려? ㅎㄷㄷㄷ
712,dlfyddn,시청자 수 왜이럼
713,왕만두조아,걍 담원이 젠지 개떡바름 다전제 상대전적 보면 답 나와요
714,ggihgf0,쇼매가 쵸비바른다고 선전포고함
715,우맨123,짱 왕 호
716,천연사이다,나도 빨리고싶다
717,야참부,드가자~~~~~~~~~~~
718,dgw1914,담원 공개 처형
719,palmstearin,역대최고의정글러 ^0.7ㅐ니언^
720,아르토리아크,물로켓충들 ㅋㅋㅋ
721,dwggod,아니 누가 티원 못한데? 잘하는데 코로나빨 탔다는거잖아 이것도 인정안해?
722,지는꽃,넛신은 이번경기 이기면 최소 우승이잖아 ㅋㅋ
723,groundworld1,넛신 >>>> 0.7ㅐ니언
724,무과금시청자임,어차피 우승은 담원인데;;;
725,누들___,뭐야 쵸비 없는데 가지고 놀았네
726,showmaker_kkens_chovy,담원기아 파이팅!!!
727,용구보스,결승때는 젠지랑 붙어야지 수준딸리게 담민이랗 어떻게붙누
728,nomchinese,ㅇㅅㄴㅅ
729,zmfqkr11,오너>>> 피넛 >>>> 캐니언
730,sagria04,담원 발리는데?
731,rlaqudwns1425,ㅇㅅㄴㅅ
732,은작화,ㅇㅅㄴㅅ
733,strawberrybl0ss0m,ㅇㅅㄴㅅ
734,hajjoo,시작햇는데 광고모야 생각업
735,창바람,코로나 빨 ㅇㅈㄹ ㅋㅋㅋ
736,비에고_,ㅇㅅㄴㅅ
737,shrnfl523,큰거온다
738,TearJaeMyung,슼갈들 오늘 경기도 아닌데 왜 화남?
739,4260sungg,그들만의 역체정 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
740,무지렁이먹는수달,윤수빈 ㄹㅇ이쁘네
741,tomc9,없다고 볼순 없긴해
742,얄탁꾸리,0옵션이 피넛은 맞는듯
743,왕만두조아,어차피 우승은 담원 기아임
744,pjw0425gp,@dwggod 왜담원은 코로나빨로도 3위임?ㅋㅋ
745,korean_korea,"윤수빈님이 담원 입었네, 담원 승"
746,게임프랜드,어차피 우승은 티원인데 발악하냐
747,베루즈,7ㅐ니언 ㅋㅋㅋㅋㅋㅋ
748,kshj5940,@dwggod 응 느그팀은 빈집털이도 못해 ~
749,에따봉,@dwggod 그냥 좀 ㄷㅊ라 살인충동드니까
750,찬지,음흉한 젠첩들.. 캐니언을 까네
751,khc2479,팩트:다른팀도 코로나로 이득봄ㅇㅇ
752,lsrrokmv,오너는 빼라 ㅋㅋㅋㅋ
753,곰탱탱,원딜은 룰러가 잘하지
754,silersiler,그래봤자 퍼스트는 바뀌지않아ㅋㅋ
755,헬로우181818,앗
756,peachh100,ㅋㅋㄲㅋ
757,c4rlos132,fuerza Gen.G
758,아르토리아크,돌 발 행 동
759,노믹스위애비,캐년!!!!
760,카롱단_조하영,그 코로나빨티원에게 전패당한 담원이 말이 많아
761,파덕_______,광고 ;;
762,빠나나썅,빨아 ㅎㄷㄷㄷ
763,한국파피,담원팬이지만 T1읏 인정해야함 ㅇㅈㅇㅈ 개잘함
764,별수호자씹섭,기쁘루미
765,limdh0117,젠지가 이길듯
766,텐타눌,ㅋㅋㅋ 상대가 코로나 걸리면 티원 실력이 올라가나??? ㅋㅋㅋ
767,허니챈,누구임?
768,romekings,패메이커 ㄷㄷ
769,wmfrpavkt,먼 광고만 40개여
770,TearJaeMyung,슼갈들 남의 팀 경기에 화 잔뜩내노 ㅋㅋㅋㅋㅋㅋㅋ
771,aann2007,룰러가 낳냐 덕담이 낳냐?
772,포베야,헉
773,창바람,젠지 ㅎㅇㅌ
774,무지렁이먹는수달,싸우지마 애들아 제발
775,왕만두조아,슼갈들 지난 2년간 PTSD ON!! 응 어차피 우승은 담원기아
776,minjoon414,룰러 잘한다
777,k87130,요즘 LCK 왤케 빠는걸 좋아해
778,치즈티즈,오늘이 담원 탈락하는 날인가용?
779,오전과오후,어니 광고
780,My3136,노틸잘못인데 룰러가잘했다?ㅋㅋㅋ
781,킹건부,아
782,sjhh0858,담민이들 대떡당하고 젠첩가면 쓸 예졍
783,1번뽑았습니다,룰버지 ㄷㄷ
784,함초롬체,음흉젠첩은 담원이 참교육한다 ㄹㅇ
785,hsk0528,젠지 가즈아
786,pronopga,GEN win DK cút
787,ㄹㅇㄹㅇㅈ,수빈아나운서 진짜 이쁘다
788,네옥스,ㅋㅋ
789,헤에운,티원 화이팅
790,얍플랭크,걍 ㅈ밥대전
791,한포크,그래도 젠지가 정배 아닌가
792,순응_,팩트: 담원 이길때마다 피오지 캐니언=캐니언 말고는 사람이없다=캐니언 버스기사 4인 승객팀=별거없는팀
793,kimwinter222,아이고난
794,태어난_김에_사는_사람,젠지 가즈아
795,천랑성운,탑서폿
796,bch7005,눈나ㅏㅏㅏㅏㅏ
797,minwoo0869,@카롱단_조하영 담원은 정글 제외 2군이라고 하네요 ㅋㅋ
798,rhw5289_,우아아악!! 쎠뭬이꺼의뮈친쁠레이뭬이낑뭬이꺼어!!!!
799,무관견과담민이1557,풀전력 담원 2:0 따잇! 풀전력 담원 2:0 따잇! 풀전력 담원 2:0 따잇! 풀전력 담원 2:0 따잇! 풀전력 담원 2:0 따잇! 풀전력 담원 2:0 따잇!
800,dgw1914,ㅇ.ㅇ 우차피 젠지가 이겨
801,라이먼킴,귀척 쩐다 진짜 ㄷㄷ
802,욕심후후훗,돌 발 행 동
803,fprince98,리헨즈 ㅋㅋ
804,hanul227,리헨즈 도란이 불안하긴함
805,냥이키움,리헨즈 ㅋㅋㅋㅋㅋㅋㅋㅋ
806,jwymj129,윤수빈의 저주 ㅋㅋㅋ
807,아아안ㅇㄻㄴㅇㄻㄴㅇㄹ,@dwggod 팩트)담원은 티담전에서 한번도 코로나로 1군 선수가 빠진적이 없었다
808,wkddnjsud831,담원도 코로나 피해자인데 왜 3위냐뇨 ㅠㅠㅠㅠ 코로나때문에 시즌 내내 미드 2군 선수 나왔는데 3위면 잘한거죠!!!
809,말랑결,오늘 개재밋겠다 ㄹㅇ
810,깨문다람쥐,리헨즈 개못함 ㅇㅈ/
811,palmstearin,"룰러>>>>덕담, 그리고 넛신 >>>>>>>>>> 0.7ㅐ니언, 그리고 쵸비 >>>>>>>>>> 쌩쇼메이커"
812,chogth123,얘는 그냥!!
813,겨드렁이,잼헨즈 ㅋㅋ
814,soulscape20,조용히해라
815,복숭아아메리카노,무관행동
816,manti12452,리혜지 ㅋㅋㅋㅋㅋ
817,포켓몬홍보대사,젠지는 라이프는 재계약 했어야..ㅋㅋ
818,조영남은화개장터,파란안경의 돌발행동
819,한국파피,리헨즈는 한번씩 뇌절하는거 뿐이지 나머지부분은 수준급임
820,sjhh0858,쵸업젠에 따인 담민이들 부들거릴 예정
821,jimdak1,광고 진짜 선넘네  ㅋㅋㅋ  7개 뭐냐
822,별수호자씹섭,시우야 좀
823,너구리석사,리헨즈는 그냥 못함
824,ehdrbsl03,저 장면은 그냥 케리아가 잘한건데 너무 한거아니냐
825,viktttorr,아무 롤불이 붙잡고 물어도 리헨즈라 하겠다
826,얍플랭크,0.7때문이지 뭔코로나
827,은하제일검,ㅅㅍㅌㄴㄲ
828,쵸비우승좀,젠지화이팅!~
829,왕만두조아,슼갈들은 결승전에서 벌벌떨며 기다려 어차피 우승은 담원기아니까 ^^
830,에따봉,손슈
831,빈첸시오_,왕눈이
832,ddrvv,리혜지 조리돌림 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
833,닥터페퍼개꿀맛,아니 광고를 몇번이나 하냐
834,iamboy2000,리헨즈 바로 디스
835,rhw5289_,우아아악!! 쎠뭬이꺼의뮈친쁠레이뭬이낑뭬이꺼어!!!!
836,진짜몰라서물음,사람은 안바껴~
837,holycys,리헨즈 도란 둘만 사리면 이길듯
838,창바람,쵸비>>>> 느그메이커
839,this1499,쇼메 케니언 버스타서 이긴거지 쵸비한태 개털릴 예정^^7
840,youha1209,버스메이커 ㅋㅋ
841,게임프랜드,그냥 캐리아가 잘한거지
842,TearJaeMyung,어차피 우승은 담원기아 ㅋㅋㅋ
843,깅가밍가,무관이 무관인데는 다 이유가있지
844,qhduueh162,눈나
845,lyhoya,솔직히 체급만 보면 젠지>T1이지
846,상급과일,애드블록 깔아라
847,치즈티즈,2군미드 젠지한테 털린 담원의 탈락의 날인가용?
848,wkddnjsud831,담원도 코로나 피해자인데 왜 3위냐뇨 ㅠㅠㅠㅠ 코로나때문에 시즌 내내 미드 2군 선수 나왔는데 3위면 잘한거죠!!
849,cherry_yeni,젠 vs 담인데 슼 까는 얘기만 나온다? 이래도 역체갈이 슼갈인가?ㅋㅋㅋㅋㅋㅋㅋㅋ 담갈은 정신병이다 ㄹㅇㅋㅋ
850,찬지,도란은 언급도 없뉴 ㅋㅋㅋㅋㅋ
851,베루즈,대 상 혁
852,My3136,오늘 존내이쁘다 와
853,곰탱이밤탱이,이렇게 지목을 해서 지적하다니..
854,tmfrl6509,도란 언급없네 ㅋㅋㅋ
855,tjddus87,와 윤수빈  진짜 개이쁘다
856,욕심후후훗,브리온 상대로 이긴거 얼마나 우려먹어 ~
857,묘자리봐드림,담원 1군은 언제 나오나요?
858,지존짭세,응 담원이 우승이야~~~  그코로나 빈집은 쇼매한테 벽느끼고 ^즙^짤예정 ㅋㅋ
859,랄로가첫사랑,DK=다 해줘 김건부
860,dbcldnjs9999,볼빵빵하노
861,dgw1914,둘 다 피지컬만 믿는 팀이라 볼 만 할 듯
862,hoangdarealistic,"GENG VS DK, WHO WILL WIN"
863,chogth123,캐니언게이밍
864,헬로우181818,KT랑 엄대엄가는 젠지 VS DRX랑 엄대엄 가는 DK ㅋㅋ
865,jhjh121212,담민이 vs 쵸맘의 대결 ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ
866,palmstearin,매니저가 메시지를 삭제하려 했는데 무빙으로 피함 ㅋㅋ
867,맥시멈토마토,풀젠지면 티원도 잡을텐데ㅋㅋ
868,busmaker,도란은? ?...
869,cimax123,7 anuncios kweaaaa
870,얄탁꾸리,0옵션피넛 1옵션쵸비 2옵션룰러 이정도인듯 나머지는 그게그거
871,bju0616,gdgd
872,olafcity,아
873,ljy0210,가보자가보자
874,모쿠마,젠지 오늘 코로나 안걸림? 중요할때마다 걸리던데
875,jwymj129,역시 담원 편파 ㅋㅋㅋ
876,3급기관사,도란이 아무리 못해도 버돌한테 지겠냐?ㅋㅋㅋㅋㅋㅋ
877,얍플랭크,담원1군은 은퇴했습니다^^
878,카롱단_조하영,어제 경기 본 사람은 안다 지금 티원은 신계임
879,qopals,오늘 쵸비 까던 친구들 결승때 쵸비 광팬 되어있음 ㅋㅋㅋㅋ
880,무지렁이먹는수달,루시안?
881,entice97,버돌 아칼리 잘하는건가
882,떵꾸멍,오늘 쇼메 떨어지는 날이누
883,marill671,아쉽지만 담원의 여정은 여기까지입니다 서머의 담원을 응원합니다
884,손이커,담원화이팅~
885,왕만두조아,걍 바로 결승 담슼전 가면 안되냐 어차피 담원이 이길텐데
886,엔케이1342,상대가 브리온이니 그러지 ㅋㅋㅋㅋㅋㅋ
887,아르토리아크,브리롱 패놓고 좋단다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
888,regretpass,t1은 덜덜덜덜
889,순응_,캐니언 게이밍=캐니언말고는 사람이없다
890,무관견과담민이1557,^아니고^
891,bbqdj,캐니언 얘기는 어디감
892,groundworld1,담민이들 벌써 쫄리나? 입 ㅈㄴ 터네 ㅋㅋㅋㅋ
893,지는꽃,걍 젠지가 전라인이 담원 대비 상위호환인데?
894,진짜몰라서물음,눈이 너무 커서 무서워
895,palmstearin,매니저에 의해 메시지가 삭제될 뻔 했는데 무빙으로 피함 ㅋㅋ
896,한화우승가자,눈 왤케 커
897,palbong12,누나아앗
898,욕심후후훗,존잘 ㄷㄷ
899,dwggod,20담원은 건들지마 ㅋㅋ 그땐 [정당]했으니까
900,nonquitter,와
901,누들___,국대는 1~2위 팀들로만 가자 3위까지는 아깝다
902,tomc9,정글은?
903,iamboy2000,kda 뭔데 ㅋㅋㅋㅋㅋ
904,무과금시청자임,그 악성팬덤들 PTSD 온거 웃기자너
905,showmaker_kkens_chovy,담원기아 파이팅!!!
906,자연파마,@buds1234 망상
907,gimotti0070,수빈눈나 눈이 왜이리 커
908,yj0603_,와진짜누가이길까
909,dlwlpsp,코리안 재키러브 덕담
910,bebop1844,눈 왜저래
911,chukbogi1,담민이거르고 담원이 올라가야지 ㅋㅋ
912,qopals,그저 담 트 콩!!
913,우맨123,쇼메가 딜을 안하니까
914,조영남은화개장터,얼굴 반이 눈
915,qhduueh162,눈나ㅏ
916,레이지니,어쩔티비
917,암인드텔,역시 조명이 중요하다 오늘 엄청 예쁘네
918,얍플랭크,결승은 어차피 티젠~
919,bch7005,눈ㄴ나ㅏㅏㅏㅏㅏㅏㅏㅏㅏ
920,왕만두조아,응 어차피 우승은 담원기아
921,michinpandaren,코가 좀 아쉽네
922,겨털찰랑,수빈누나 유니폼 입은팀이 지금까지 이겨왔다 이말이야
923,별수호자씹섭,덕펠리오스 잘하긴함
924,얄탁꾸리,대황메이커 ㄷ;
925,entice97,동공 웰케 큼 렌즈인가
926,calintz304,이거 걍 PO스텟아님? 시즌 전체가 아니라
927,김떡봉,기상캐스터시절과 얼굴이 너무 달라졌네요
928,함초롬체,젠지는 오늘 담원한테 참교육당한다 대 황 담 원 파이팅 ㅋㅋㅋㅋ
929,노믹스위애비,담기많응!!!!
930,일치로_,저거 브리온 상대로만 이잖
931,palmstearin,수빈이가 정현이보다 훨씬 낳다
932,전절,버돌은 아직 증명 못했는데?
933,수리리리링,아무나 이겨라~~~~
934,hjf0987,누냐 나죽어
935,핑크갸라도스,눈알에 룰루 커져라 썼나
936,minjoon414,"뭔가 운영이 아쉬워서 지던데 담원은,   젠지를 놓고보자니 티원이랑 젠지가 운영을 잘해서"
937,포베야,눈 왤캐크냐
938,fkffh95,수빈이 눈 진짜크네
939,jpopstar,2021은 무관중 물로켓이지 ㅋㅋㅋㅋ
940,whlthd1d,하... 담민이형!!!
941,ljs00112,아오오니여?
942,dgw1914,정규만 보면 젠지가 담원 상위 호환이 맞는데 담원 너무 잘하더라
943,무지렁이먹는수달,롤의신 ㄷㄷ
944,무관견과담민이1557,양 소 인
945,조하나,젠지 팬은 가만히 있는데 담원 팬이랑 t1 팬 끼리 겁나 싸우네
946,원시젤리,담원이 이기면 재밌긴 하겠다 ㅋㅋ
947,게임프랜드,양소인
948,kimuchi_juice,눈 진짜 크네
949,헤에운,여자 아오오니 닮았당
950,플러스99,양소인
951,메데쨩,와.. 눈나 겁나 이쁘네
952,dellash99,롤의 신 ㄷㄷㄷ
953,bebop1844,무슨 인형눈깔같네
954,jwymj129,^빠끄^
955,nomchinese,양 소 인 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
956,rkotomb,양대인 절대종신
957,iamboy2000,눈나 눈너무커
958,티모먹는다람쥐,우웩
959,파솔솔,오늘 쇼메 떨어지는날 아님??
960,노히트노런,오늘 강퀴인가여?
961,skqlaoemq122,젠지 화이팅
962,sjhh0858,눈 ㅈㄴ 크네ㅋㅋㅋㅋㅋ
963,zzzzak728,나 담원기아 팬인데 윤석열 지지한다 ^^
964,ingan0404,외모 평가하는 애들 거울좀 보셈ㅋㅋ
965,tomc9,쇼메 폼이 좀 떨어진긴 했지
966,scienpr,아무리 그래도... 젠지가 크흠... 좀 더? 크흠 ㅋㅋ
967,nrew94,슼갈분들 그만해주세요
