,User,Chat
144,얍삽2,자 드가자
145,shined_toweyes,어그로임;
146,xitosalbe,젭라 담원 화이팅
147,ggitaek08,티원 연승기록을 왜 뺌? 어쨌든 그것도 구단 사정인건데 ㅋㅋㅋㅋ
148,03690444,둘다 못낳음
149,얼린망고스틴,젠지가 이기려나
150,해랑사도경안,ㅋㅋㅋㅋㅋ 낳
151,haruki567,가슴이 웅장해진다..
152,FIS2S2,젠지 탑 누구임
153,무인편의점봉투도둑엄준식,왜 담원이 이길거같지
154,청포도젤리,젠담이네
155,thefrlst,좀나 큰거온다..
156,tictvhtw,큰거냐?
157,서워리당,젠지가 3:1로 이겨서 5꽉도르는 안하고 패하나는 꺼내서 이겼으면 좋겠음
158,dkslanjdi88,개인 관리도 실력이다
159,함초롬체,담원이 이길듯
160,빅야드,큰거온다
161,욕심후후훗,자 멸망전 드가자~
162,귤먹는오리,큰거 온다
163,Neptune_3300,HELLO MY FELLOW KOREANS
164,으짜라고,젠지 이겨라!!!
165,ilzeusil,0.7ㅐ니언 자르반0.7세
166,색끈미시,작은키 온다
167,hongjjoony7840,짜장메이커 나오나
168,심심한하루임,잘하는 팀이 이기겠징 화이팅
169,에따봉,루울러
170,라면하나주이소,왜 8분남은걸로 뜸?
171,jakolimozine,어짜피 우승은 T1 아님?
172,UselessnessMan,큰거온다
173,sovkipe,ㄲㄲㄲㄲㄲ
174,마우저카구팔,오오
175,구관조,젠지 win?
176,깅가밍가,오늘이 우승자 결정하는 날인건가
177,컴공의비애,큰 거 왔네..
178,pjw0425gp,담민이들벌써화남?
179,rachelle0922,킹차피 우승은 티원
180,erwin1174,정배는젠지지
181,나부랭2,가슴이 웅장해진다
182,니차욘따라락,젠지랑 담원임?
183,달콤한밤,젠지가 티원한테만 진거면 ... 코로나 이슈 인정하는데 kt한테도 져가지구ㅠㅠ 할말업뜸 ..
184,limdh0117,ㅇㅇ
185,티모테,젠지 화이팅
186,손놀림봐라,3:0가즈아
187,dwggod,"솔직히 티원 잘하는거 인정하는데, 코로나 아니었음 전승은 못했지.. 공식 기록에서 빼야한다 << 순수실력으로는 젠지가 티원보다 높다"
188,단아,큰거온다
189,스치면고자,"시즌내내 젠지한테 쳐발렸는데 젠지가 정배긴하지,"
190,songjun0979,근데 어차피 티원우승인데
191,khj8719,실딱이 인생들아 형은 한달 연봉 700이다ㅋㅋㅋㅋ부럽냐?
192,youngzzin777666,3 ad estão passando fome
193,메탐페타민중독자,2등 쟁탈전 시작
194,쵸비상182,쇼메 키 진지하게 몇임?
195,lol_chungjamsuo,솔직히 저기에 쇼메말고 캐니언 넣어야한다
196,wlsrb032,2등결정전입니다~
197,헉슬리이,자 드가자
198,simok03,티원담원전 보고싶긴한데 젠지가 담원이길듯
199,레온상,준우승자 가리는 시간인가
200,zmfqkr11,155.7
201,곧추석입니다,쇼메 케리아보다 살짝 큼
202,My3136,오늘이 담민이 멸망각이라고해서 찾아왔읍니다
203,iamboy2000,쵸비 185 쇼메 159
204,이제프괴벨스,한달연봉 700 엌ㅋㄴㅋㄴㅋㅋㅋ
205,jackpot0716,젠지가 이겼음 좋겠다
206,누들___,쇼메 날라가는짤 생각나네
207,fabrimen911,chin chen hanchi
208,코코키,ㅋㅋㅋㅋㅋㅋ한달700이 아니라 연봉 700이면 한달60따리임/ ㅋㅋ
209,_튀김만두_17,쇼메 멸망의 날
210,minwoo0869,누가 이기든 좋은 경기 만들자 화이팅
211,스마일곰돌,젠지가 정배임 담원이 정배임??
212,saviors7551,헐
213,토요일좋아,젠지가 바르겠지
214,헬로우181818,담원 > 젠지
215,에렌예거밤,결국엔 티원한테 삼대떡 날 팀들인데 뭘 보세여
216,메론밀키스,젠지 화이팅!
217,함초롬체,담원이 이긴다..
218,nomchinese,대 황 슼
219,Suratrat_,한달 연봉 700은 대체 무슨 말이냐
220,wndks0123,젠지가정배지
221,무관견과담민이1557,6분!
222,rachelle0922,오늘 준결승자 결정날 ㅋ 킹차피 우승은 티원이야~
223,순응_,쇼메 한달 60따리임?
224,7해피해피7,이거 노래 제목뭔가요?
225,자연산돌미역,젠지가 이기지
226,율무주세요,젠지가 정배 아님?
227,노해나래,어 우 슼
228,whatmyname0_0,젠지 담원 다잘해서 누가이길지모르겠음
229,ggitaek08,한달연봉은 대체 뭔 말임?ㅋㅋㅋㅋㅋ능지 수준 개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
230,7년째몽정을겪고있는뽀돌이,슬로우모드 개추 ㅡㅡ
231,aann2007,사실상 결승정아니냐? 티원이 낳냐?
232,name123234,젠지 화이팅!!!!!!!
233,망고망고71,아무나 이겨라
234,찹찹고찹찹이,한달 연봉ㅋㅋㅋㅋㅋㅋㅋㅋ
